AR0002|Temple of Helm (Baldur's Gate)
AR0004|Behren's home, ground floor
AR0005|Behren's home, second floor (Pixie the Cat)
AR0006|Rinnie's home, ground floor
AR0007|Rinnie's home, second floor
AR0008|Generic home, ground floor
AR0009|Generic home, second floor
AR0010|Jardak's home, ground floor (Drelik the butler)
AR0011|Jardak's home, second floor
AR0012|Generic home, ground floor
AR0013|Generic home, second floor
AR0014|Generic home, ground floor
AR0015|Generic home, second floor
AR0016|Generic home, ground floor
AR0017|Generic home, second floor
AR0018|Generic home, ground floor
AR0019|Generic home, second floor
AR0020|Generic home, ground floor
AR0021|Generic home, second floor
AR0100|NW Baldur's Gate (Helm & Cloak, Silvershield Estate)
AR0101|Silvershield Estate, ground floor
AR0102|Silvershield Estate, second floor
AR0103|Splurging Sturgeon, ground floor (Lusselyn)
AR0104|Splurging Sturgeon, second floor (Mr. Shade)
AR0105|Blade and Stars, ground floor (G'axir the Seer, Elkart)
AR0106|Blade and Stars, second floor (Maple Willow Aspen)
AR0107|Blade and stars, third floor (Reginald Longtooth Worthington III)
AR0108|Duchal Palace, ground floor
AR0109|Duchal Palace, second floor
AR0110|Duchal Palace, third floor
AR0111|Duchal Palace, basement
AR0112|Undercellars (Slythe, Krystin)
AR0114|Blushing Mermaid, ground floor (Larze)
AR0115|Blushing Mermaid, second floor
AR0116|Helm & Cloak, ground floor (Gorpel Hind)
AR0117|Helm & Cloak, second floor front (Emissary Sarah)
AR0118|Helm & Cloak, second floor rear
AR0119|Three Old Kegs tavern, ground floor
AR0120|Three Old Kegs tavern, second floor (Skull of Keraph)
AR0121|Three Old Kegs tavern, third floor (Areana)
AR0123|Undercity (Temple of Bhaal, old city ruins)
AR0125|Temple of Bhaal (game finale)
AR0126|Ragefast's home
AR0127|Merchant League, ground floor (Irlentree)
AR0128|Merchant League, second floor (Aldeth, Brandilar, Zorl)
AR0129|Merchant League, third floor
AR0130|Hall of Wonders (Alora)
AR0131|Temple of Gond (Forthel August)
AR0132|Lady's House (Agnasia, Chanthalas Ulbright)
AR0133|Low Lantern, ground floor
AR0134|Low Lantern, first underwater level (Desreta, Vay-ya)
AR0135|Low Lantern, second underwater level (Yago)
AR0136|Low Lantern, third underwater level
AR0137|Ramazith's Tower, ground floor
AR0138|Ramazith's Tower, sixth (top) floor
AR0139|Ramazith's Tower, second floor
AR0140|Ramazith's Tower, third floor
AR0141|Ramazith's Tower, fourth floor
AR0142|Ramazith's Tower, fifth floor
AR0143|Oberan's Estate, ground floor
AR0144|Oberan's Estate, second floor
AR0145|Oberan's Estate, third floor (Helshara, Ithmeera, Delorna)
AR0146|Thieves Guild, Maze
AR0148|Thieves Guild, front house (fourth from west)
AR0149|Ilmater's Shrine
AR0150|Thieves Guild, front house (first from west)
AR0151|Thieves Guild, front house (second from west)
AR0152|Thieves Guild, front house (third from west)
AR0153|Thieves Guild, main area (Alatos, Narlen Darkwalk)
AR0154|Keexie Tavern, ground floor
AR0155|Generic home, ground floor
AR0156|Generic home, second floor
AR0157|Quinn's home, ground floor
AR0158|Quinn's home, second floor
AR0159|Generic home, ground floor
AR0160|Generic home, second floor
AR0161|Degrodel's home
AR0162|Louise and Laerta's home
AR0163|Generic home, ground floor
AR0164|Generic home, second floor
AR0165|Generic tavern, ground floor (Connoly Finn)
AR0166|Generic tavern, second floor (Borinole Mann)
AR0167|Phierkas's home, ground floor
AR0168|Phierkas's home, second floor
AR0169|Generic home, ground floor
AR0170|Generic home, second floor
AR0171|Keexie Tavern, second floor
AR0200|N Baldur's Gate (Ramazith's Tower, Duchal Palace)
AR0224|BG Sewers, western area (Schlumpsha the Sewer King)
AR0225|BG Sewers, central area (Ratchild)
AR0226|BG Sewers, eastern area (ogre mage for Scar)
AR0300|NE Baldur's Gate (Blushing Mermaid, Splurging Sturgeon, Counting House)
AR0302|Generic home, ground floor
AR0303|Generic home, second floor
AR0304|Generic store
AR0305|Generic home, ground floor
AR0306|Generic home, second floor
AR0307|Counting House, ground floor (Jacil or Ulf)
AR0308|Counting House, second floor (Captain Kieres)
AR0400|Farm NE of BG (Wenric, zombie farm)
AR0401|Wenric's farmhouse
AR0500|Durlag's Tower, exterior
AR0501|Durlag's Tower, first subterranean level
AR0502|Durlag's Tower, ground floor
AR0503|Durlag's Tower, second floor
AR0504|Durlag's Tower, third floor (Rigglio)
AR0505|Durlag's Tower, fourth floor (Kirinhale)
AR0506|Durlag's Tower, chessboard (fourth subterranean level)
AR0507|Durlag's Tower, cold elemental challenge (fourth subterranean level)
AR0508|Durlag's Tower, fire elemental challenge (fourth subterranean level)
AR0509|Durlag's Tower, air elemental challenge (fourth subterranean level)
AR0510|Durlag's Tower, earth elemental challenge (fourth subterranean level)
AR0511|Durlag's Tower, second subterranean level (Pride, Avarice, Love, Fear)
AR0512|Durlag's Tower, third subterranean level (Kiel, Islanne, door maze)
AR0513|Durlag's Tower, fourth subterranean level (leads to elemental challenges)
AR0514|Durlag's Tower, fifth subterranean level
AR0515|Durlag's Tower, stone golem question chamber
AR0516|Durlag's Tower, demon knight chamber (Dalton)
AR0600|W Baldur's Gate (Hall of Wonders, Lady's House, Ragefast's home)
AR0601|Seven Suns, ground floor
AR0602|Seven Suns, second floor
AR0603|Seven Suns, basement (Jhasso)
AR0606|Flaming Fist HQ, basement
AR0607|Flaming Fist HQ, ground floor
AR0608|Flaming Fist HQ, second floor (Duke Eltan)
AR0609|Temple of Umberlee (Jalantha Mistmyr)
AR0611|Iron Throne, basement
AR0612|Iron Throne, second floor (Dra'tan)
AR0613|Iron Throne, third floor (Nortuary, Emissary Tar)
AR0614|Iron Throne, fourth floor (Destus Gurn)
AR0615|Iron Throne, fifth (top) floor (chapter five finale)
AR0616|Iron Throne, ground floor (Triadore)
AR0617|Tremain Belde'ar's home, ground floor
AR0618|Tremain Belde'ar's home, second floor
AR0619|Fenten's Home, ground floor
AR0620|Fenten's Home, second floor
AR0621|Iron Throne, roof
AR0700|Central Baldur's Gate (marketplace, Oberan's home)
AR0702|Harbormaster's building
AR0703|Sorcerous Sundries, ground floor (Halbazzer Drin)
AR0704|Sorcerous Sundries, second floor
AR0705|Elfsong Tavern, ground floor (Brevlik)
AR0706|Elfsong Tavern, second floor (Alyth, Cyrdemac)
AR0707|Generic home, ground floor
AR0708|Generic home, second floor
AR0709|Generic home, ground floor
AR0710|Generic home, second floor
AR0711|Generic home, ground floor
AR0712|Generic home, second floor
AR0713|Generic home, ground floor
AR0714|Generic home, second floor
AR0715|Nadine's home, ground floor
AR0716|Nadine's home, second floor
AR0717|Generic home, ground floor
AR0718|Generic home, second floor
AR0719|Felonius Gist's home
AR0720|Drakon Tavern
AR0721|Warehouse full of rabid chickens
AR0722|Generic home, ground floor
AR0723|Generic home, second floor
AR0724|Marketplace tent (gambling)
AR0725|Marketplace tent (gambling)
AR0726|Diviner's marketplace tent
AR0800|E Baldur's Gate (Sorcerous Sundries, Elfsong Tavern)
AR0801|Generic home, ground floor
AR0802|Generic home, second floor
AR0803|Maltz's Weapon Shop, ground floor
AR0804|Maltz's Weapon Shop, second floor
AR0805|Arkion's home, ground floor
AR0806|Arkion's home, second floor
AR0807|Generic inn, ground floor
AR0808|Generic inn, second floor
AR0809|Silence's store
AR0810|Luck Aello's store
AR0811|Generic home, ground floor
AR0812|Generic home, second floor
AR0813|Nemphre's home, ground floor
AR0814|Nemphre's home, second floor
AR0900|Wyrm's Crossing (bridge to BG, Tenya, Quayle)
AR0901|Tenya's home
AR1000|Ulgoth's Beard (Shandalar, Ike, Mendas)
AR1001|Ulgoth Beard's Inn (Hurgan Stoneblade)
AR1002|Aec'Letec cult building, basement (Aec'Letec)
AR1003|Aec'Letec cult building, ground floor
AR1004|Mendas's home
AR1005|Therella's home
AR1006|Generic home
AR1007|Generic home
AR1008|Ice island, exterior
AR1009|Ice island, dungeon
AR1010|Ice island, unused exit area
AR1100|SW Baldur's Gate (Flaming Fist HQ, Merchant League, Seven Suns)
AR1101|Generic home, ground floor (thieves Wiven, Dirk, Meakin and Sath)
AR1102|Generic home, second floor
AR1103|Generic home, ground floor
AR1104|Generic home, second floor
AR1105|Generic home, ground floor
AR1106|Generic home, second floor
AR1107|Generic home, ground floor
AR1108|Generic home, second floor
AR1109|Generic tavern, ground floor (Phandalyn)
AR1110|Generic tavern, second floor
AR1111|Sunin's home
AR1112|Generic weapons store
AR1113|Ye Olde Inn, ground floor (green slimes, AKA Slime Inn)
AR1114|Ye Olde Inn, second floor (green slimes, AKA Slime Inn)
AR1115|Generic potions store
AR1116|Generic weapons store
AR1117|Generic potions store
AR1200|S Baldur's Gate (docks, Iron Throne, Low Lantern, Umberlee temple)
AR1201|Generic home, ground floor (ogre mages)
AR1202|Generic home, second floor
AR1203|Generic home, ground floor
AR1204|Generic home, second floor
AR1205|Generic home, ground floor
AR1206|Generic home, second floor
AR1207|Warehouse (loose basilisk)
AR1208|Warehouse (Noralee)
AR1209|Generic home, ground floor (Larriaz the Sirine)
AR1210|Generic home, second floor
AR1211|Ghorak's home, ground floor
AR1212|Ghorak's home, second floor
AR1213|Cordyr's home, ground floor
AR1214|Cordyr's home, second floor
AR1215|Jopalin's Tavern
AR1300|SE Baldur's Gate (Blade and Stars)
AR1301|Warehouse
AR1302|Well-Adjusted Al's General Store
AR1303|Warehouse (Nadarin)
AR1304|Generic home, ground floor
AR1305|Generic home, second floor
AR1306|Generic inn, ground floor (Euric)
AR1307|Generic inn, second floor (Sanadal Gwist)
AR1308|Generic home, ground floor
AR1309|Generic home, second floor
AR1310|Generic home, ground floor
AR1311|Generic home, second floor
AR1312|Gantolandan's home, ground floor
AR1313|Gantolandan's home, second floor
AR1314|Generic home, ground floor
AR1315|Generic home, second floor
AR1316|Generic home, ground floor (thieves Taxek and Michael)
AR1317|Generic home, second floor
AR1320|Generic store
AR1400|Fishing village (Ajantis, farmer Brun, Gerde, lots of ankhegs)
AR1401|Ankheg pit
AR1402|Fisherman's home
AR1403|Fisherman's home
AR1404|Brun's home
AR1500|Balduran's Isle, north (AKA Werewolf Isle)
AR1501|Balduran's ship, ground floor
AR1502|Balduran's ship, second floor
AR1503|Balduran's ship, third floor
AR1504|Balduran's ship, fourth floor (Karoug)
AR1505|Dradeel's home
AR1600|Cloakwood, third main area (shadow druids, Eldoth, Faldorn)
AR1601|Tree house, ground floor
AR1602|Tree house, second floor (Amarande)
AR1603|Baby wyvern cave (Peter of the North)
AR1700|Cloakwood, fourth main area (wyverns)
AR1800|Cloakwood mines, exterior
AR1801|Cloakwood mines, first subterranean level (river plug)
AR1801A|Unused
AR1802|Cloakwood mines, third subterranean level (Natasha, ogre mage)
AR1803|Cloakwood mines, fourth subterranean level (Davaeorn, Stephan)
AR1804|Cloakwood mines, second subterranean level (Yeslick, Hareishan)
AR1805|Cloakwood mines, barracks ground floor
AR1806|Cloakwood mines, barracks second floor
AR1807|Cloakwood mines, elevator
AR1808|Cloakwood mines, storehouse
AR1809|Cloakwood mines, shed leading to elevator
AR1900|Bandit Camp
AR1901|Bandit Camp, main tent (Raemon, Venkt, Hakt, Britik)
AR1902|Bandit Camp, tent (Ardenor Crush)
AR1903|Bandit Camp, cave (Garclax)
AR1904|Bandit Camp, tent (Tersus)
AR1905|Bandit Camp, tent (Knott)
AR1906|Bandit Camp, tent
AR1907|Bandit Camp, tent (Taugosz Khosann)
AR2000|Balduran's Isle, south (AKA Werewolf Isle, Delainy/Durlyle)
AR2001|Generic hut
AR2002|Main hut (Kaishas Gan, Tailas)
AR2003|Generic hut
AR2004|Generic hut
AR2005|Generic hut
AR2006|Generic hut
AR2007|Taloun's hut
AR2008|Generic hut
AR2009|Generic hut
AR2010|Generic hut
AR2011|Generic hut
AR2012|Werewolf caverns
AR2100|Cloakwood, second main area (spider nest, Centeol)
AR2101|Spider nest (Centeol)
AR2200|Cloakwood, first main area (Aldeth Sashenstar, Seniyad, Coran)
AR2215|Hunting lodge
AR2300|Friendly Arm Inn, exterior
AR2301|Friendly Arm Inn, ground floor (Bentley Mirrorshade, Khalid, Jaheira)
AR2302|Friendly Arm Inn, second floor (Unshey)
AR2303|Friendly Arm Inn, third floor (Landrin, Golden Pantaloons)
AR2304|Friendly Arm Inn, Temple of Wisdom (Gellana Mirrorshade)
AR2305|Friendly Arm Inn, generic home
AR2306|Friendly Arm Inn, Joia's home
AR2400|Peldvale (Viconia, Raiken)
AR2600|Candlekeep (prologue), exterior
AR2602|Candlekeep (prologue), Priest's Quarters (Shank)
AR2605|Candlekeep (prologue), infirmary
AR2606|Candlekeep (prologue), storehouse
AR2607|Candlekeep (prologue), bunkhouse (Carbos)
AR2608|Candlekeep Citadel, ground floor (Karan)
AR2609|Candlekeep Citadel, second floor (Koveras)
AR2610|Candlekeep Citadel, third floor (Rieltar, Brunos Costak, Tuth and Kestor)
AR2611|Candlekeep Citadel, fourth floor (Shistal)
AR2612|Candlekeep Citadel, fifth floor (Gorion's old room)
AR2613|Candlekeep Catacombs, entrance area
AR2614|Candlekeep Citadel, sixth floor (Ulraunt, Tethtoril)
AR2615|Candlekeep Catacombs, first level
AR2616|Candlekeep (prologue), Inn ground floor
AR2617|Candlekeep (prologue), Inn second floor
AR2618|Candlekeep (prologue), barracks
AR2619|Candlekeep Catacombs, second level
AR2622|Unused
AR2623|Unused
AR2624|Unused
AR2626|Candlekeep (chapter 6), exterior
AR2627|Candlekeep (chapter 6), Priest's Quarters
AR2628|Candlekeep (chapter 6), storehouse
AR2629|Candlekeep (chapter 6), Inn ground floor
AR2630|Candlekeep (chapter 6), Inn second floor
AR2631|Candlekeep (chapter 6), barracks
AR2632|Candlekeep (chapter 6), bunkhouse
